#
# IPA Symbols
#
# Version: 0.0.8
# Date:    2016-06-07
#
# Syntax:
# desc,unic
#
# desc = description of the IPA symbol
# unic = Unicode hexadecimal code point(s):
#        N/A       = Unicode codepoint not available
#        xxxx      = single Unicode codepoint
#        xxxx xxxx = alternative Unicode codepoints, the first is the canonical
#        xxxx_xxxx = sequence of Unicode codepoints
#
#
# Notes:
#   1. Articulations believed to be impossible are not listed
voiceless palato-alveolar   sibilant-affricate consonant,0074_0361_0283 0074_035C_0283 0074_0283 02A7
voiced    palato-alveolar   sibilant-affricate consonant,0064_0361_0292 0064_035C_0292 0064_0292 02A4
voiceless retroflex         sibilant-affricate consonant,0288_0361_0282 0288_035C_0282 0074_0361_0282 0074_035C_0282 0288_0282
voiced    retroflex         sibilant-affricate consonant,0256_0361_0290 0256_035C_0290 0064_0361_0290 0064_035C_0290 0256_0290
voiceless alveolo-palatal   sibilant-affricate consonant,0074_0361_0255 0074_035C_0255 0074_0255 02A8
voiced    alveolo-palatal   sibilant-affricate consonant,0064_0361_0291 0064_035C_0291 0064_0291 02A5



##############################
#   non-sibilant-affricate   #
##############################

voiceless bilabial          non-sibilant-affricate consonant,0070_0361_0278 0070_035C_0278 0070_0278
voiced    bilabial          non-sibilant-affricate consonant,0062_0361_03B2 0062_035C_03B2 0062_03B2
voiceless labio-dental      non-sibilant-affricate consonant,0070_032A_0361_0066 0070_032A_035C_0066 0070_032A_0066
voiced    labio-dental      non-sibilant-affricate consonant,0062_032A_0361_0076 0062_032A_035C_076 0062_032A_076
#voiceless linguolabial      non-sibilant-affricate consonant,???
#voiced    linguolabial      non-sibilant-affricate consonant,???
voiceless dental            non-sibilant-affricate consonant,0074_0361_03B8 0074_035C_03B8 0074_032A_0361_03B8 0074_031F_0361_03B8
voiced    dental            non-sibilant-affricate consonant,0064_0361_00F0 0064_035C_00F0 0064_032A_0361_00F0 0064_031F_0361_00F0
voiceless alveolar          non-sibilant-affricate consonant,0074_0361_03B8_0320 0074_0361_03B8_0333 0074_035C_03B8_0320 0074_035C_03B8_0333
voiced    alveolar          non-sibilant-affricate consonant,0064_0361_00F0_0320 0064_0361_00F0_0333 0064_035C_00F0_0320 0064_035C_00F0_0333
voiceless palato-alveolar   non-sibilant-affricate consonant,0074_0320_0361_0279_0320_030A_02D4 0074_0320_035C_0279_0320_030A_02D4 0074_0320_0279_0320_030A_02D4
voiced    palato-alveolar   non-sibilant-affricate consonant,0064_0320_0361_0279_0320_02D4 0064_0320_035C_0279_0320_02D4 0064_0320_0279_0320_02D4
#voiceless retroflex         non-sibilant-affricate consonant,???
#voiced    retroflex         non-sibilant-affricate consonant,???
#voiceless alveolo-palatal   non-sibilant-affricate consonant,???
#voiced    alveolo-palatal   non-sibilant-affricate consonant,???
voiceless palatal           non-sibilant-affricate consonant,0063_0361_00E7 0063_035C_00E7
voiced    palatal           non-sibilant-affricate consonant,025F_0361_029D 025F_035C_029D
voiceless velar             non-sibilant-affricate consonant,006B_0361_0078 006B_035C_0078 006B_0078
voiced    velar             non-sibilant-affricate consonant,0261_0361_0263 0261_035C_0263 0261_0263
voiceless uvular            non-sibilant-affricate consonant,0071_0361_03C7 0071_035C_03C7 0071_03C7
voiced    uvular            non-sibilant-affricate consonant,0262_0361_0281 0262_035C_0281 0262_0281
voiceless pharyngeal        non-sibilant-affricate consonant,02A1_0361_0127 02A1_035C_0127 02A1_0127
voiced    pharyngeal        non-sibilant-affricate consonant,02A1_0361_0295 02A1_035C_0295 02A1_0295
voiceless glottal           non-sibilant-affricate consonant,0294_0361_0068 0294_035C_0068 0294_0068
# no voiced



##########################
#   sibilant-fricative   #
##########################

voiceless dental            sibilant-fricative consonant,0073_032A
voiced    dental            sibilant-fricative consonant,007A_032A
voiceless alveolar          sibilant-fricative consonant,0073
voiced    alveolar          sibilant-fricative consonant,007A
voiceless palato-alveolar   sibilant-fricative consonant,0283
voiced    palato-alveolar   sibilant-fricative consonant,0292
voiceless retroflex         sibilant-fricative consonant,0282
voiced    retroflex         sibilant-fricative consonant,0290
voiceless alveolo-palatal   sibilant-fricative consonant,0255
voiced    alveolo-palatal   sibilant-fricative consonant,0291



##############################
#   non-sibilant-fricative   #
##############################

voiceless bilabial          non-sibilant-fricative consonant,0278 03A6
voiced    bilabial          non-sibilant-fricative consonant,03B2
voiceless labio-dental      non-sibilant-fricative consonant,0066
voiced    labio-dental      non-sibilant-fricative consonant,0076
voiceless linguolabial      non-sibilant-fricative consonant,03B8_033C 0278_033A
voiced    linguolabial      non-sibilant-fricative consonant,00F0_033C 03B2_033A
voiceless dental            non-sibilant-fricative consonant,03B8
voiced    dental            non-sibilant-fricative consonant,00F0
voiceless alveolar          non-sibilant-fricative consonant,03B8_0320 03B8_0347 0279_031D_030A
voiced    alveolar          non-sibilant-fricative consonant,00F0_0320 00F0_0347 0279_031D
voiceless palato-alveolar   non-sibilant-fricative consonant,0279_0320_030A_02D4
voiced    palato-alveolar   non-sibilant-fricative consonant,0279_0320_02D4
#voiceless retroflex         non-sibilant-fricative consonant,???
#voiced    retroflex         non-sibilant-fricative consonant,???
#voiceless alveolo-palatal   non-sibilant-fricative consonant,???
#voiced    alveolo-palatal   non-sibilant-fricative consonant,???
voiceless palatal           non-sibilant-fricative consonant,00E7
voiced    palatal           non-sibilant-fricative consonant,029D
voiceless velar             non-sibilant-fricative consonant,0078
voiced    velar             non-sibilant-fricative consonant,0263
voiceless uvular            non-sibilant-fricative consonant,03C7
voiced    uvular            non-sibilant-fricative consonant,0281
voiceless pharyngeal        non-sibilant-fricative consonant,0127
voiced    pharyngeal        non-sibilant-fricative consonant,0295
voiceless glottal           non-sibilant-fricative consonant,0068
voiced    glottal           non-sibilant-fricative consonant,0266



###################
#   approximant   #
###################

voiceless bilabial          approximant consonant,0278_031E
#voiced    bilabial          approximant consonant,???
#voiceless labio-dental      approximant consonant,???
voiced    labio-dental      approximant consonant,028B
#voiceless linguolabial      approximant consonant,???
#voiced    linguolabial      approximant consonant,???
voiceless dental            approximant consonant,03B8_031E
#voiced    dental            approximant consonant,???
voiceless alveolar          approximant consonant,0279_0325
voiced    alveolar          approximant consonant,0279 00F0_0320_02D5
#voiceless palato-alveolar   approximant consonant,???
#voiced    palato-alveolar   approximant consonant,???
voiceless retroflex         approximant consonant,027B_030A
voiced    retroflex         approximant consonant,027B
#voiceless alveolo-palatal   approximant consonant,???
#voiced    alveolo-palatal   approximant consonant,???
voiceless palatal           approximant consonant,006A_030A 0069_032F_030A
voiced    palatal           approximant consonant,006A
voiceless velar             approximant consonant,0270_030A 0078_031E 0263_030A_02D5
voiced    velar             approximant consonant,0270 0263_031E 0263_02D5
#voiceless uvular            approximant consonant,???
#voiced    uvular            approximant consonant,???
#voiceless pharyngeal        approximant consonant,???
#voiced    pharyngeal        approximant consonant,???
#voiceless glottal           approximant consonant,???
voiced    glottal           approximant consonant,0294_031E 0294_0330



############
#   flap   #
############

#voiceless bilabial          flap consonant,???
voiced    bilabial          flap consonant,2C73 2C71_031F
#voiceless labio-dental      flap consonant,???
voiced    labio-dental      flap consonant,2C71 F25F
#voiceless linguolabial      flap consonant,???
voiced    linguolabial      flap consonant,027E_033C
#voiceless dental            flap consonant,???
#voiced    dental            flap consonant,???
voiceless alveolar          flap consonant,027E_0325 027E_030A
voiced    alveolar          flap consonant,027E
#voiceless palato-alveolar   flap consonant,???
#voiced    palato-alveolar   flap consonant,???
voiceless retroflex         flap consonant,027D_030A
voiced    retroflex         flap consonant,027D
#voiceless uvular            flap consonant,???
voiced    uvular            flap consonant,0262_0306 0280_0306
#voiceless pharyngeal        flap consonant,
voiced    pharyngeal        flap consonant,02A1_032E



#############
#   trill   #
#############

voiceless bilabial          trill consonant,0299_0325
voiced    bilabial          trill consonant,0299
